Theta,Phi,RCS(dBsm)
45.0,-45.0,-5.440108523783367
45.0,-44.0,-5.053538861982453
45.0,-43.0,-6.165522906759193
45.0,-42.0,-6.975720745996565
45.0,-41.0,-7.880712252493005
45.0,-40.0,-9.573434578405168
45.0,-39.0,-10.06368649602332
45.0,-38.0,-13.72839727896029
45.0,-37.0,-16.117879859643715
45.0,-36.0,-29.314561584926185
45.0,-35.0,-41.91433042587634
45.0,-34.0,-18.97497303663349
45.0,-33.0,-15.747100202192104
45.0,-32.0,-11.304271127403567
45.0,-31.0,-11.138066864094602
45.0,-30.0,-9.951572393078797
45.0,-29.0,-10.618945209688288
45.0,-28.0,-10.493848435077291
45.0,-27.0,-12.552850767587609
45.0,-26.0,-17.71624157787262
45.0,-25.0,-24.305439384589704
45.0,-24.0,-27.178482496883372
45.0,-23.0,-19.305085712889905
45.0,-22.0,-13.738488422327997
45.0,-21.0,-11.708162127209478
45.0,-20.0,-13.18103895063172
45.0,-19.0,-13.865960486060683
45.0,-18.0,-15.192437074969282
45.0,-17.0,-21.915733055276014
45.0,-16.0,-26.493787603909865
45.0,-15.0,-19.512795926101724
45.0,-14.0,-16.225091360857185
45.0,-13.0,-14.160588474784944
45.0,-12.0,-14.059597221658784
45.0,-11.0,-17.01727798985194
45.0,-10.0,-25.05540300264693
45.0,-9.0,-31.029376065851903
45.0,-8.0,-22.039130406130823
45.0,-7.0,-15.923820953336364
45.0,-6.0,-13.811574945768946
45.0,-5.0,-15.646202144798531
45.0,-4.0,-22.01043144654093
45.0,-3.0,-29.5678351775073
45.0,-2.0,-23.35947655263879
45.0,-1.0,-16.78916959441922
45.0,0.0,-14.68391152757892
45.0,1.0,-16.789169594414716
45.0,2.0,-23.359476552630607
45.0,3.0,-29.567835177503326
45.0,4.0,-22.01043144654227
45.0,5.0,-15.646202144795751
45.0,6.0,-13.811574945763256
45.0,7.0,-15.923820953330662
45.0,8.0,-22.03913040614172
45.0,9.0,-31.029376065927647
45.0,10.0,-25.055403002689367
45.0,11.0,-17.01727798986483
45.0,12.0,-14.059597221662441
45.0,13.0,-14.160588474789648
45.0,14.0,-16.225091360872884
45.0,15.0,-19.512795926115768
45.0,16.0,-26.49378760390352
