Theta,Phi,RCS(dBsm)
45.0,-45.0,-4.713846509013352
45.0,-44.0,-4.479109846249104
45.0,-43.0,-5.5628761291691085
45.0,-42.0,-6.2686365582218695
45.0,-41.0,-7.54952457728301
45.0,-40.0,-8.85312042923465
45.0,-39.0,-9.919766617339405
45.0,-38.0,-12.791170879069906
45.0,-37.0,-16.244726430662716
45.0,-36.0,-23.212521469158457
45.0,-35.0,-23.49053378834107
45.0,-34.0,-16.036545153322976
45.0,-33.0,-12.775358405900871
45.0,-32.0,-9.717514340339745
45.0,-31.0,-9.130755485225032
45.0,-30.0,-8.733181860077684
45.0,-29.0,-9.155955641275007
45.0,-28.0,-9.671033271568158
45.0,-27.0,-11.65306379134438
45.0,-26.0,-16.85583316280782
45.0,-25.0,-24.272245752212672
45.0,-24.0,-20.135541473389402
45.0,-23.0,-14.802915647178931
45.0,-22.0,-11.124759388642826
45.0,-21.0,-9.883585280823583
45.0,-20.0,-11.009277663481043
45.0,-19.0,-12.739168995278348
45.0,-18.0,-14.988887663671038
45.0,-17.0,-19.238739973797816
45.0,-16.0,-18.02225284516946
45.0,-15.0,-14.35404624268077
45.0,-14.0,-12.871642895836073
45.0,-13.0,-12.213098823216615
45.0,-12.0,-12.368427272462785
45.0,-11.0,-14.654443452913684
45.0,-10.0,-18.904045697990345
45.0,-9.0,-18.88472604843843
45.0,-8.0,-16.128632658589655
45.0,-7.0,-13.196958772394648
45.0,-6.0,-11.923182524782234
45.0,-5.0,-13.490580775523835
45.0,-4.0,-17.65823244603957
45.0,-3.0,-20.1503079118444
45.0,-2.0,-17.665090044083293
45.0,-1.0,-13.7965567807546
45.0,0.0,-12.255158700856981
45.0,1.0,-13.796556780739326
45.0,2.0,-17.665090044042117
45.0,3.0,-20.150307911784022
45.0,4.0,-17.658232445994727
45.0,5.0,-13.49058077550775
45.0,6.0,-11.923182524779975
45.0,7.0,-13.196958772394275
45.0,8.0,-16.128632658567707
45.0,9.0,-18.88472604838885
45.0,10.0,-18.90404569795881
45.0,11.0,-14.654443452906076
45.0,12.0,-12.368427272462373
45.0,13.0,-12.213098823211585
45.0,14.0,-12.87164289581839
45.0,15.0,-14.354046242664184
45.0,16.0,-18.022252845169536
45.0,17.0,-19.238739973825425
45.0,18.0,-14.98888766369335
45.0,19.0,-12.73916899527309
45.0,20.0,-11.009277663469682
45.0,21.0,-9.883585280829427
45.0,22.0,-11.124759388650403
45.0,23.0,-14.802915647170272
45.0,24.0,-20.13554147339431
45.0,25.0,-24.272245752293923
45.0,26.0,-16.855833162868027
45.0,27.0,-11.653063791382689
45.0,28.0,-9.671033271584388
45.0,29.0,-9.15595564126776
45.0,30.0,-8.733181860078819
45.0,31.0,-9.130755485233244
45.0,32.0,-9.717514340329323
45.0,33.0,-12.775358405907776
45.0,34.0,-16.03654515339278
45.0,35.0,-23.49053378843957
45.0,36.0,-23.21252146918722
45.0,37.0,-16.244726430649255
45.0,38.0,-12.791170879062207
45.0,39.0,-9.919766617337324
45.0,40.0,-8.853120429242198
45.0,41.0,-7.549524577285386
45.0,42.0,-6.268636558218187
45.0,43.0,-5.562876129170901
45.0,44.0,-4.479109846249952
45.0,45.0,-4.713846509021658
46.0,-45.0,-4.268748006174258
46.0,-44.0,-4.830052512182129
46.0,-43.0,-4.566852175938611
46.0,-42.0,-5.445093203485188
46.0,-41.0,-6.177819975121617
46.0,-40.0,-6.948702781603176
46.0,-39.0,-8.07186734586571
46.0,-38.0,-8.846393409163474
46.0,-37.0,-11.579261598021603
46.0,-36.0,-14.271229570225222
46.0,-35.0,-20.437576810811358
46.0,-34.0,-23.716443074507513
46.0,-33.0,-18.183082802143915
46.0,-32.0,-13.925408918827927
46.0,-31.0,-10.750390114595694
46.0,-30.0,-10.066202619678986
46.0,-29.0,-9.055157694221913
46.0,-28.0,-8.975706553793701
46.0,-27.0,-9.404839046308345
46.0,-26.0,-11.788852109066227
46.0,-25.0,-16.540589114007506
46.0,-24.0,-22.340694587541282
46.0,-23.0,-20.53395736179239
46.0,-22.0,-14.482633755785766
46.0,-21.0,-11.282961527958328
46.0,-20.0,-10.673834835841241
46.0,-19.0,-11.54193405037149
46.0,-18.0,-12.261994216366165
46.0,-17.0,-14.64719325006193
46.0,-16.0,-19.533260143238532
46.0,-15.0,-18.335011030519198
46.0,-14.0,-15.434449086132476
46.0,-13.0,-12.801559803663437
46.0,-12.0,-11.386306022193612
46.0,-11.0,-12.628447624451686
46.0,-10.0,-17.084192291510377
